id;name;description;type;parent_tag_id;created_at;updated_at;hide_in_liturgy
347;sv. Fidela ze Sigmaringy;;40;;;;0
348;sv. Petra Chanela;;40;;;;0
349;sv. Ludvíka Marie Grigniona z Montfortu;;40;;;;0
350;sv. Zikmunda;;40;;;;0
351;sv. Pia V.;;40;;;;0
352;sv. Filipa a Jakuba;;40;;;;0
353;sv. Matěje;;40;;;;0
354;sv. Jana Nepomuckého;;40;;;;0
355;Navštívení Panny Marie;;40;;;;0
356;sv. Atanáše;;40;;;;0
357;sv. Filipa Neriho;;40;;;;0
358;sv. Zdislavy;;40;;;;0
359;"sv. Josefa, Dělníka";;40;;;;0
360;sv. Jana Sarkandra;;40;;;;0
361;"Panny Marie, Prostřednice všech milostí";;40;;;;0
362;sv. Nerea a Achillea;;40;;;;0
363;sv. Pankráce;;40;;;;0
364;Panny Marie Fatimské;;40;;;;0
365;sv. Jana I.;;40;;;;0
366;sv. Klementa Marie Hofbauera;;40;;;;0
367;sv. Bernardina Sienského;;40;;;;0
368;sv. Kryštofa Magallanese a druhů;;40;;;;0
369;sv. Rity z Cascie;;40;;;;0
370;sv. Augustina z Canterbury;;40;;;;0
371;Narození sv. Jana Křtitele;;40;;;;0
372;sv. Petra a Pavla;;40;;;;0
373;sv. Justina;;40;;;;0
374;sv. Karla Lwangy a druhů;;40;;;;0
375;sv. Bonifáce;;40;;;;0
376;sv. Barnabáše;;40;;;;0
377;sv. Antonína z Padovy;;40;;;;0
378;sv. Aloise Gonzagy;;40;;;;0
379;sv. Ireneje;;40;;;;0
380;sv. Marcelina a Petra;;40;;;;0
381;sv. Norberta;;40;;;;0
382;sv. Efréma;;40;;;;0
383;sv. Víta;;40;;;;0
384;sv. Jana Nepomuckého Neumanna;;40;;;;0
385;sv. Romualda;;40;;;;0
386;sv. Paulina Nolánského;;40;;;;0
387;"sv. Jana Fishera, kněze, a Tomáše Mora";;40;;;;0
388;sv. Cyrila Alexandrijského;;40;;;;0
389;Svatých prvomučedníků římských;;40;;;;0
390;sv. Cyrila a Metoděje;;40;;;;0
391;sv. Tomáše;;40;;;;0
392;sv. Benedikta;;40;;;;0
393;sv. Marie Magdalény;;40;;;;0
394;sv. Brigity;;40;;;;0
395;sv. Jakuba;;40;;;;0
396;sv. Prokopa;;40;;;;0
397;sv. Bonaventury;;40;;;;0
398;sv. Jáchyma a Anny;;40;;;;0
399;sv. Marty;;40;;;;0
400;sv. Ignáce z Loyoly;;40;;;;0
401;sv. Apolináře;;40;;;;0
402;sv. Alžběty Portugalské;;40;;;;0
403;sv. Marie Gorettiové;;40;;;;0
404;"sv. Augustina Žao Ronga, kněze a druhů";;40;;;;0
405;sv. Jindřicha;;40;;;;0
406;bl. Hroznaty;;40;;;;0
407;sv. Kamila de Lellis;;40;;;;0
408;Panny Marie Karmelské;;40;;;;0
409;bl. Česlava a sv. Hyacinta;;40;;;;0
410;sv. Vavřince z Brindisi;;40;;;;0
411;sv. Šarbela Machlúfa;;40;;;;0
412;sv. Gorazda a druhů;;40;;;;0
413;sv. Petra Chryzologa;;40;;;;0
414;Nanebevzetí Panny Marie;;40;;;;0
415;Proměnění Páně;;40;;;;0
416;sv. Terezie Benedikty od Kříže;;40;;;;0
417;sv. Vavřince;;40;;;;0
418;sv. Bartoloměje;;40;;;;0
419;sv. Alfonsa Marie z Liguori;;40;;;;0
420;sv. Jana Marie Vianneye;;40;;;;0
421;sv. Dominika;;40;;;;0
422;sv. Kláry;;40;;;;0
423;sv. Maxmiliána Kolbeho;;40;;;;0
424;sv. Bernarda;;40;;;;0
425;sv. Pia X.;;40;;;;0
426;Panny Marie Královny;;40;;;;0
427;sv. Moniky;;40;;;;0
428;sv. Augustina;;40;;;;0
429;Umučení sv. Jana Křtitele;;40;;;;0
430;sv. Eusebia z Vercelli;;40;;;;0
431;Petra Juliána Eymarda;;40;;;;0
432;Posvěcení římské baziliky Panny Marie;;40;;;;0
433;"sv. Sixta II., papeže, a druhů";;40;;;;0
434;sv. Kajetána;;40;;;;0
435;sv. Jany Františky de Chantal;;40;;;;0
436;"sv. Ponciána, papeže, a Hippolyta, kněze";;40;;;;0
437;sv. Štěpána Uherského;;40;;;;0
438;sv. Jana Eudese;;40;;;;0
439;sv. Růženy z Limy;;40;;;;0
440;sv. Ludvíka;;40;;;;0
441;"sv. Benedikta, Jana, Marouše, Izáka a Kristina";;40;;;;0
442;sv. Josefa Kalasanského;;40;;;;0
443;sv. Václava;;40;;;;0
444;Povýšení sv. Kříže;;40;;;;0
445;Narození Panny Marie;;40;;;;0
446;sv. Matouše;;40;;;;0
447;"sv. Michaela, Gabriela a Rafaela";;40;;;;0
448;sv. Řehoře Velikého;;40;;;;0
449;sv. Jana Zlatoústého;;40;;;;0
450;Panny Marie Bolestné ;;40;;;;0
451;sv. Ludmily;;40;;;;0
452;"sv. Ondřeje Kim Taegona, Pavla Chong Hasanga a druhů";;40;;;;0
453;sv. Pia z Pietrelciny;;40;;;;0
454;sv. Vincence z Pauly;;40;;;;0
455;sv. Jeronýma;;40;;;;0
456;sv. Melichara Grodeckého;;40;;;;0
457;sv. Petra Klavera;;40;;;;0
458;bl. Karla Spinoly;;40;;;;0
459;Jména Panny Marie;;40;;;;0
460;sv. Kornélia a Cypriána;;40;;;;0
461;sv. Roberta Bellarmina;;40;;;;0
462;sv. Januária;;40;;;;0
463;sv. Kosmy a Damiána;;40;;;;0
464;sv. Lukáše;;40;;;;0
465;sv. Šimona a Judy;;40;;;;0
466;sv. Terezie od Dítěte Ježíše;;40;;;;0
467;svatých andělů strážných;;40;;;;0
468;sv. Františka z Assisi;;40;;;;0
469;Panny Marie Růžencové;;40;;;;0
470;sv. Terezie od Ježíše;;40;;;;0
471;sv.  Ignáce Antiochijského;;40;;;;0
472;sv. Faustiny Kowalské;;40;;;;0
473;sv. Bruna;;40;;;;0
474;sv. Dionýsia a druhů;;40;;;;0
475;sv. Jana Leonardiho;;40;;;;0
476;sv. Jana XIII.;;40;;;;0
477;sv. Radima;;40;;;;0
478;sv. Kalista I.;;40;;;;0
479;sv. Markéty Marie Alacoque;;40;;;;0
480;sv. Hedviky;;40;;;;0
481;sv. Jana de Brébeuf a Izáka Joguese a druhů;;40;;;;0
482;sv. Pavla od Kříže;;40;;;;0
483;bl. Karla Rakouského;;40;;;;0
484;sv. Jana Pavla II.;;40;;;;0
485;sv. Jana Kapistránského;;40;;;;0
486;sv. Antonína Marie Klareta;;40;;;;0
487;sv. Wolfganga;;40;;;;0
488;Všech svatých;;40;;;;0
489;Vzpomínka na všechny věrné zemřelé;;40;;;;0
490;Posvěcení lateránské baziliky;;40;;;;0
491;sv. Ondřeje;;40;;;;0
492;sv. Karla Boromejského;;40;;;;0
493;sv. Lva Velikého;;40;;;;0
494;sv. Martina;;40;;;;0
495;sv. Josafata;;40;;;;0
496;sv. Anežky České;;40;;;;0
497;sv. Alžběty Uherské;;40;;;;0
498;Zasvěcení Panny Marie v Jeruzalémě;;40;;;;0
499;sv. Cecilie;;40;;;;0
500;sv. Ondřeje Dung-Laca a druhů;;40;;;;0
501;sv. Martina de Porres;;40;;;;0
502;sv. Alberta Velikého;;40;;;;0
503;sv. Markéty Skotské;;40;;;;0
504;sv. Gertrudy;;40;;;;0
505;Posvěcení římských bazilik svatých apoštolů Petra a Pavla;;40;;;;0
506;sv. Klementa I.;;40;;;;0
507;sv. Kolumbána;;40;;;;0
508;sv. Kateřiny Alexandrijské;;40;;;;0
509;"Panny Marie, počaté bez poskrvny prvotního hříchu";;40;;;;0
510;sv. Štěpána;;40;;;;0
511;sv. Jana;;40;;;;0
512;sv. Mláďátek;;40;;;;0
