id;name;description;type;parent_tag_id;created_at;updated_at;hide_in_liturgy;order;lit_day_identificator
262;Úterý po 2. neděli velikonoční;;40;;;;0;;easter_time_2_tuesday
263;Středa po 2. neděli velikonoční;;40;;;;0;;easter_time_2_wednesday
264;Čtvrtek po 2. neděli velikonoční;;40;;;;0;;easter_time_2_thursday
265;Pátek po 2. neděli velikonoční;;40;;;;0;;easter_time_2_friday
266;Sobota po 2. neděli velikonoční;;40;;;;0;;easter_time_2_saturday
267;Pondělí po 3. neděli velikonoční;;40;;;;0;;easter_time_3_monday
268;Úterý po 3. neděli velikonoční;;40;;;;0;;easter_time_3_tuesday
269;Středa po 3. neděli velikonoční;;40;;;;0;;easter_time_3_wednesday
270;Čtvrtek po 3. neděli velikonoční;;40;;;;0;;easter_time_3_thursday
271;Pátek po 3. neděli velikonoční;;40;;;;0;;easter_time_3_friday
272;Sobota po 3. neděli velikonoční;;40;;;;0;;easter_time_3_saturday
273;Pondělí po 4. neděli velikonoční;;40;;;;0;;easter_time_4_monday
274;Úterý po 4. neděli velikonoční;;40;;;;0;;easter_time_4_tuesday
275;Středa po 4. neděli velikonoční;;40;;;;0;;easter_time_4_wednesday
276;Čtvrtek po 4. neděli velikonoční;;40;;;;0;;easter_time_4_thursday
277;Pátek po 4. neděli velikonoční;;40;;;;0;;easter_time_4_friday
278;Sobota po 4. neděli velikonoční;;40;;;;0;;easter_time_4_saturday
279;Pondělí po 5. neděli velikonoční;;40;;;;0;;easter_time_5_monday
280;Úterý po 5. neděli velikonoční;;40;;;;0;;easter_time_5_tuesday
281;Středa po 5. neděli velikonoční;;40;;;;0;;easter_time_5_wednesday
282;Čtvrtek po 5. neděli velikonoční;;40;;;;0;;easter_time_5_thursday
283;Pátek po 5. neděli velikonoční;;40;;;;0;;easter_time_5_friday
284;Sobota po 5. neděli velikonoční;;40;;;;0;;easter_time_5_saturday
285;Pondělí po 6. neděli velikonoční;;40;;;;0;;easter_time_6_monday
286;Úterý po 6. neděli velikonoční;;40;;;;0;;easter_time_6_tuesday
287;Středa po 6. neděli velikonoční;;40;;;;0;;easter_time_6_wednesday
288;Pátek po 6. neděli velikonoční;;40;;;;0;;easter_time_6_friday
289;Sobota po 6. neděli velikonoční;;40;;;;0;;easter_time_6_saturday
290;Pondělí po 7. neděli velikonoční;;40;;;;0;;easter_time_7_monday
291;Úterý po 7. neděli velikonoční;;40;;;;0;;easter_time_7_tuesday
292;Středa po 7. neděli velikonoční;;40;;;;0;;easter_time_7_wednesday
293;Čtvrtek po 7. neděli velikonoční;;40;;;;0;;easter_time_7_thursday
294;Pátek po 7. neděli velikonoční;;40;;;;0;;easter_time_7_friday
295;Sobota po 7. neděli velikonoční;;40;;;;0;;easter_time_7_saturday
296;Matky Boží, Panny Marie;;40;;;;0;;mary_mother_of_god
297;Obrácení sv. Pavla;;40;;;;0;;conversion_of_saint_paul_the_apostle
298;sv. Basila Velikého a Řehoře Naziánského;;40;;;;0;;basil_the_great_and_gregory_nazianzen_bishops
299;sv. Antonína;;40;;;;0;;anthony_of_egypt_abbot
300;Panny Marie, Matky jednoty křesťanů;;40;;;;0;;our_lady_mother_of_christian_unity
301;sv. Anežky;;40;;;;0;;agnes_of_rome_virgin
302;sv. Františka Saleského;;40;;;;0;;francis_de_sales_bishop
303;sv. Timoteje a Tita;;40;;;;0;;timothy_of_ephesus_and_titus_of_crete_bishops
304;sv. Tomáše Akvinského;;40;;;;0;;thomas_aquinas_priest
305;sv. Jana Boska;;40;;;;0;;john_bosco_priest
306;Nejsvětějšího Jména Ježíš;;40;;;;0;;most_holy_name_of_jesus
307;sv. Rajmunda z Penafortu;;40;;;;0;;raymond_of_penyafort_priest
308;sv. Hilaria;;40;;;;0;;hilary_of_poitiers_bishop
309;sv. Fabiána;;40;;;;0;;fabian_i_pope
310;sv. Šebestiána;;40;;;;0;;sebastian_of_milan_martyr
311;sv. Vincence;;40;;;;0;;vincent_of_saragossa_deacon
312;sv. Anděly Mericiové;;40;;;;0;;angela_merici_virgin
313;Uvedení Páně do chrámu ;;40;;;;0;;presentation_of_the_lord
314;Stolce sv. Petra;;40;;;;0;;chair_of_saint_peter_the_apostle
315;sv. Agáty;;40;;;;0;;agatha_of_sicily_virgin
316;sv. Pavla Mikiho a druhů;;40;;;;0;;paul_miki_and_companions_martyrs
317;sv. Scholastiky;;40;;;;0;;scholastica_of_nursia_virgin
318;sv. Polykarpa;;40;;;;0;;polycarp_of_smyrna_bishop
319;sv. Blažeje;;40;;;;0;;blaise_of_sebaste_bishop
320;sv. Ansgara;;40;;;;0;;ansgar_of_hamburg_bishop
321;sv. Jeronýma Emilianiho;;40;;;;0;;jerome_emiliani
322;sv. Josefiny Bakhity;;40;;;;0;;josephine_bakhita_virgin
323;Panny Marie Lurdské;;40;;;;0;;our_lady_of_lourdes
324;sv. Alexia a druhů;;40;;;;0;;seven_holy_founders_of_the_servite_order
325;sv. Petra Damianiho;;40;;;;0;;peter_damian_bishop
326;sv. Josefa;;40;;;;0;;joseph_spouse_of_mary
327;Zvěstování Páně;;40;;;;0;;annunciation
328;sv. Perpetuy a Felicity;;40;;;;0;;perpetua_of_carthage_and_felicity_of_carthage_martyrs
329;sv. Kazimíra;;40;;;;0;;casimir_of_poland
330;sv. Jana z Boha;;40;;;;0;;john_of_god_duarte_cidade_religious
